,Data,Ultimo,Abertura,Maxima,Minima,Vol,Var%
1,31.12.2020,"48,52","48,35","48,58","47,77","181,89K","0,25%"
2,31.12.2020,"48,52","48,35","48,58","47,77","181,89K","0,25%"
3,31.12.2020,"48,52","48,35","48,58","47,77","181,89K","0,25%"
4,31.12.2020,"48,52","48,35","48,58","47,77","181,89K","0,25%"
5,31.12.2020,"48,52","48,35","48,58","47,77","181,89K","0,25%"
6,31.12.2020,"48,52","48,35","48,58","47,77","181,89K","0,25%"
7,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
8,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
9,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
10,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
11,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
12,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
13,30.12.2020,"48,40","48,13","48,66","47,61","266,96K","0,83%"
14,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
15,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
16,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
17,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
18,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
19,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
20,29.12.2020,"48,00","47,72","48,35","47,68","213,78K","0,80%"
21,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
22,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
23,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
24,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
25,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
26,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
27,28.12.2020,"47,62","48,23","48,96","47,50","238,46K","-1,26%"
28,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
29,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
30,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
31,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
32,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
33,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
34,24.12.2020,"48,23","48,09","48,62","47,56","167,39K","0,23%"
35,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
36,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
37,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
38,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
39,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
40,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
41,23.12.2020,"48,12","46,79","48,50","46,16","344,31K","2,34%"
42,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
43,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
44,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
45,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
46,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
47,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
48,22.12.2020,"47,02","47,93","47,96","46,60","295,74K","-1,51%"
49,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
50,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
51,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
52,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
53,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
54,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
55,21.12.2020,"47,74","48,54","48,61","46,18","27,96K","-2,77%"
56,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
57,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
58,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
59,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
60,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
61,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
62,18.12.2020,"49,10","48,43","49,28","48,10","83,71K","1,53%"
63,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
64,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
65,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
66,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
67,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
68,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
69,17.12.2020,"48,36","47,85","48,59","47,81","96,54K","1,13%"
70,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
71,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
72,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
73,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
74,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
75,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
76,16.12.2020,"47,82","47,60","47,94","47,17","275,33K","0,42%"
77,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
78,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
79,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
80,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
81,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
82,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
83,15.12.2020,"47,62","46,99","47,73","46,54","311,17K","1,34%"
84,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
85,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
86,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
87,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
88,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
89,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
90,14.12.2020,"46,99","46,73","47,44","45,69","403,54K","0,90%"
91,11.12.2020,"46,57","46,97","47,29","46,34","367,31K","-0,45%"
